owner,period,metric_type,value,unit,objective
jenny.cui1,2025 年 7 月,试驾量,2,组,"### 多卖车多赚钱，本月是转正第一个月，需要自己带试驾，自己跟单子，本月目标L60锁2交2，L90锁1，多卖选配。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653429218426881, Owner: wyatt.yu (open_id: ou_a8c95c6364f80c06b8c23c6fe4c94..."
jerry.lu2,2025 年 7 月,交付量,24,台,"### （多卖车多赚钱）：月度交付≥24，单车费效
≤2.5万元
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 战队伙伴每人每天精准得体试驾2+，试驾后统一模板跟进，人均月度试驾≥60个，人均线索新增大于等于130个，L-TD转化率≥30%
    - Progress: 0%
    - Score: 0
2. 大配置车型销售占比..."
jerry.lu2,2025 年 7 月,试驾量,2,组,"### （多卖车多赚钱）：月度交付≥24，单车费效
≤2.5万元
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 战队伙伴每人每天精准得体试驾2+，试驾后统一模板跟进，人均月度试驾≥60个，人均线索新增大于等于130个，L-TD转化率≥30%
    - Progress: 0%
    - Score: 0
2. 大配置车型销售占比..."
jerry.lu2,2025 年 7 月,试驾量,60,组,"### （多卖车多赚钱）：月度交付≥24，单车费效
≤2.5万元
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 战队伙伴每人每天精准得体试驾2+，试驾后统一模板跟进，人均月度试驾≥60个，人均线索新增大于等于130个，L-TD转化率≥30%
    - Progress: 0%
    - Score: 0
2. 大配置车型销售占比..."
jia.li12,2025 年 7 月,交付量,1,台,"### (多卖车多赚钱):完成L60月度锁单及交付1.7台(挑战目标4台)，6个月合计10000分
A1）月度L60锁单及交付目标2台
A2）月度试驾量>40组
A3）月度总跟进数>1080组   日跟进量>40组
- **Progress:** 0%
- **Score:** 0

---"
jia.li12,2025 年 7 月,新增建联量,97,人,"### (多建联多建信):月度个人新增建联>97组
A1)月度个人新增建联>97组  
A2)开口获取新增建联目标，每日线索3-5个/人(周中3，周末5)，企业微信添加率80%
A3）在社媒(含朋友圈、小红书、抖音)精心设计、原创内容8篇
- **Progress:** 0%
- **Score:** 0

---"
jia.li12,2025 年 7 月,新增建联量,97,人,"### (多建联多建信):月度个人新增建联>97组
A1)月度个人新增建联>97组  
A2)开口获取新增建联目标，每日线索3-5个/人(周中3，周末5)，企业微信添加率80%
A3）在社媒(含朋友圈、小红书、抖音)精心设计、原创内容8篇
- **Progress:** 0%
- **Score:** 0

---"
jia.li12,2025 年 7 月,新增建联量,97,人,"### (多建联多建信):月度个人新增建联>97组
A1)月度个人新增建联>97组  
A2)开口获取新增建联目标，每日线索3-5个/人(周中3，周末5)，企业微信添加率80%
A3）在社媒(含朋友圈、小红书、抖音)精心设计、原创内容8篇
- **Progress:** 0%
- **Score:** 0

---"
jia.li12,2025 年 7 月,新增建联量,97,人,"### (多建联多建信):月度个人新增建联>97组
A1)月度个人新增建联>97组  
A2)开口获取新增建联目标，每日线索3-5个/人(周中3，周末5)，企业微信添加率80%
A3）在社媒(含朋友圈、小红书、抖音)精心设计、原创内容8篇
- **Progress:** 0%
- **Score:** 0

---"
jia.li12,2025 年 7 月,试驾量,40,组,"### (多卖车多赚钱):完成L60月度锁单及交付1.7台(挑战目标4台)，6个月合计10000分
A1）月度L60锁单及交付目标2台
A2）月度试驾量>40组
A3）月度总跟进数>1080组   日跟进量>40组
- **Progress:** 0%
- **Score:** 0

---"
jia.liu14,2025 年 7 月,新增建联量,40,人,"### 当月完成40个新增建联，试驾25个，当月破蛋
当日目标2个新增建联，1个邀约试驾，企业微信互动10
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度完成试驾≥20个；月度新增建联>40个，机会到试驾的转化率≥50%
当班每日严闭环2新增建联+1试驾+1排程+企微互动10，完成基础工作达成
    - Progress: 0..."
jia.liu14,2025 年 7 月,新增建联量,40,人,"### 当月完成40个新增建联，试驾25个，当月破蛋
当日目标2个新增建联，1个邀约试驾，企业微信互动10
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度完成试驾≥20个；月度新增建联>40个，机会到试驾的转化率≥50%
当班每日严闭环2新增建联+1试驾+1排程+企微互动10，完成基础工作达成
    - Progress: 0..."
jia.liu14,2025 年 7 月,试驾量,25,组,"### 当月完成40个新增建联，试驾25个，当月破蛋
当日目标2个新增建联，1个邀约试驾，企业微信互动10
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度完成试驾≥20个；月度新增建联>40个，机会到试驾的转化率≥50%
当班每日严闭环2新增建联+1试驾+1排程+企微互动10，完成基础工作达成
    - Progress: 0..."
jia.liu14,2025 年 7 月,试驾量,20,组,"### 当月完成40个新增建联，试驾25个，当月破蛋
当日目标2个新增建联，1个邀约试驾，企业微信互动10
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度完成试驾≥20个；月度新增建联>40个，机会到试驾的转化率≥50%
当班每日严闭环2新增建联+1试驾+1排程+企微互动10，完成基础工作达成
    - Progress: 0..."
jia.liu14,2025 年 7 月,试驾量,25,组,"### 当月完成40个新增建联，试驾25个，当月破蛋
当日目标2个新增建联，1个邀约试驾，企业微信互动10
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度完成试驾≥20个；月度新增建联>40个，机会到试驾的转化率≥50%
当班每日严闭环2新增建联+1试驾+1排程+企微互动10，完成基础工作达成
    - Progress: 0..."
jiajun.wang6,2025 年 7 月,新增建联量,2,人,"### 多建联多建信：新增建联2人/天，并持续建信。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430569517084, Owner: austin.shen (open_id: ou_b398e4739481c6ea61a66e5f39d19050)

#### Key Results:
1. 月度..."
jiajun.wang6,2025 年 7 月,新增建联量,100,人,"### 多建联多建信：新增建联2人/天，并持续建信。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430569517084, Owner: austin.shen (open_id: ou_b398e4739481c6ea61a66e5f39d19050)

#### Key Results:
1. 月度..."
jiajun.wang6,2025 年 7 月,新增建联量,2,人,"### 多建联多建信：新增建联2人/天，并持续建信。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430569517084, Owner: austin.shen (open_id: ou_b398e4739481c6ea61a66e5f39d19050)

#### Key Results:
1. 月度..."
jiajun.wang6,2025 年 7 月,新增建联量,100,人,"### 多建联多建信：新增建联2人/天，并持续建信。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430569517084, Owner: austin.shen (open_id: ou_b398e4739481c6ea61a66e5f39d19050)

#### Key Results:
1. 月度..."
jiajun.wang6,2025 年 7 月,新增建联量,40,人,"### 多建联多建信：新增建联2人/天，并持续建信。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430569517084, Owner: austin.shen (open_id: ou_b398e4739481c6ea61a66e5f39d19050)

#### Key Results:
1. 月度..."
jiajun.wang6,2025 年 7 月,新增建联量,2,人,"### 多建联多建信：新增建联2人/天，并持续建信。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430569517084, Owner: austin.shen (open_id: ou_b398e4739481c6ea61a66e5f39d19050)

#### Key Results:
1. 月度..."
jiajun.wang6,2025 年 7 月,新增建联量,2,人,"### 多建联多建信：新增建联2人/天，并持续建信。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430569517084, Owner: austin.shen (open_id: ou_b398e4739481c6ea61a66e5f39d19050)

#### Key Results:
1. 月度..."
jiajun.zheng2,2025 年 7 月,交付量,2,台,"### （多卖车多赚钱）：7月L60目标订单1台，挑战交付2台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 多打用户电话，扩大基本盘，增加手中用户数量
    - Progress: 0%
    - Score: 0
2. 工作日每天新增邀约试驾用户1组，周六日门店试驾，增加试驾量利用现有优惠政策促单
    - Progres..."
jiajun.zheng2,2025 年 7 月,交付量,2,台,"### （多卖车多赚钱）：7月L60目标订单1台，挑战交付2台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 多打用户电话，扩大基本盘，增加手中用户数量
    - Progress: 0%
    - Score: 0
2. 工作日每天新增邀约试驾用户1组，周六日门店试驾，增加试驾量利用现有优惠政策促单
    - Progres..."
jiale.gao,2025 年 7 月,交付量,1,台,"### 完成月度车辆销售交付≥1辆
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 完成试驾 ≥10个。月度新增购车需求≥ X 个（上月为Y个），个人合计购车需求池≥50个，机会到试驾的转化率≥10%。
    - Progress: 0%
    - Score: 0
2. 月度锁单目标≥1辆，试驾到锁单的转化率≥10%。
    ..."
jiale.gao,2025 年 7 月,新增建联量,100,人,"### 当月新增建联≥100人，总建联人数≥100人，并持续建信。
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联≥100人
    - Progress: 0%
    - Score: 0
2. 建联用户的月度建信100%覆盖，所有建联用户月均建信次数≥3次
    - Progress: 0%
    - Scor..."
jiale.gao,2025 年 7 月,新增建联量,100,人,"### 当月新增建联≥100人，总建联人数≥100人，并持续建信。
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联≥100人
    - Progress: 0%
    - Score: 0
2. 建联用户的月度建信100%覆盖，所有建联用户月均建信次数≥3次
    - Progress: 0%
    - Scor..."
jiale.gao,2025 年 7 月,新增建联量,100,人,"### 当月新增建联≥100人，总建联人数≥100人，并持续建信。
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联≥100人
    - Progress: 0%
    - Score: 0
2. 建联用户的月度建信100%覆盖，所有建联用户月均建信次数≥3次
    - Progress: 0%
    - Scor..."
jiale.gao,2025 年 7 月,新增建联量,100,人,"### 当月新增建联≥100人，总建联人数≥100人，并持续建信。
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度新增建联≥100人
    - Progress: 0%
    - Score: 0
2. 建联用户的月度建信100%覆盖，所有建联用户月均建信次数≥3次
    - Progress: 0%
    - Scor..."
jian.li27,2025 年 7 月,锁单量,3,台,"### 多卖车多赚钱：L60锁车、提车≥3台
L90锁车≥3台
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. L60高配车型≥2
L60低配车型≥1
L90大定≥3
L90锁单≥3
    - Progress: 0%
    - Score: 0

---"
jianan.wu,2025 年 7 月,试驾量,1,组,"### 几个方面:
1.明天的工作规划：40接通，2试驾1tss
手里有意向用户但是不确定什么时候来
进度：回访老用户，拓展新用户，多收点例子
青州展厅多收线索，先在青州种草多加一些高意向看看能转化到90上
门店尽量接客泡一下试驾
- **Progress:** 0%
- **Score:** 0
- **Aligns to:**
    - 目标: 7519269711526232066, Ow..."
jianrui.deng2,2025 年 7 月,新增建联量,3,人,"### 保证质量建联，做到人均建联≥3/天。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516651185101832220, Owner: jingyang.huang (open_id: ou_1e081c03cb8b2a818b0ad00042e85ef2)
    - 目标: 751665118510183..."
jiashuo.zhang,2025 年 7 月,交付量,2,台,"### （多买车多赚钱）L60,月交付量2台，atv点数1800，实现个人盈利
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 平均每日新增L60建联数3-5条
    - Progress: 0%
    - Score: 0
2. 每周L60试驾量10组
    - Progress: 0%
    - Score: 0
3. L..."
jiashuo.zhang,2025 年 7 月,新增建联量,13,人,"### （多建联多建信）平均每日新增L60建联2-5条，L90新增建联13-15条，每日建信量50+
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 门店接待，留资率90%
    - Progress: 0%
    - Score: 0
2. 每日小红书和朋友圈2-3条
    - Progress: 0%
    - Score..."
jiashuo.zhang,2025 年 7 月,新增建联量,2,人,"### （多建联多建信）平均每日新增L60建联2-5条，L90新增建联13-15条，每日建信量50+
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 门店接待，留资率90%
    - Progress: 0%
    - Score: 0
2. 每日小红书和朋友圈2-3条
    - Progress: 0%
    - Score..."
jiashuo.zhang,2025 年 7 月,新增建联量,13,人,"### （多建联多建信）平均每日新增L60建联2-5条，L90新增建联13-15条，每日建信量50+
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 门店接待，留资率90%
    - Progress: 0%
    - Score: 0
2. 每日小红书和朋友圈2-3条
    - Progress: 0%
    - Score..."
jiashuo.zhang,2025 年 7 月,试驾量,10,组,"### （多买车多赚钱）L60,月交付量2台，atv点数1800，实现个人盈利
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 平均每日新增L60建联数3-5条
    - Progress: 0%
    - Score: 0
2. 每周L60试驾量10组
    - Progress: 0%
    - Score: 0
3. L..."
jiawen.li8,2025 年 7 月,交付量,33,台,"### 多卖车多赚钱：月度车辆销售交付≥33台挑战目标42台。上月双门店交付22台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653197932019740, Owner: zhilin.gao (open_id: ou_5d6dd2083e9ce51487a48ca0820e7378)
    - 目标: ..."
jiawen.li8,2025 年 7 月,交付量,22,台,"### 多卖车多赚钱：月度车辆销售交付≥33台挑战目标42台。上月双门店交付22台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653197932019740, Owner: zhilin.gao (open_id: ou_5d6dd2083e9ce51487a48ca0820e7378)
    - 目标: ..."
jiawen.li8,2025 年 7 月,交付量,22,台,"### 多卖车多赚钱：月度车辆销售交付≥33台挑战目标42台。上月双门店交付22台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653197932019740, Owner: zhilin.gao (open_id: ou_5d6dd2083e9ce51487a48ca0820e7378)
    - 目标: ..."
jiawen.wu2,2025 年 7 月,交付量,3,台,"### 多卖车多赚钱
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653426836832258, Owner: mengting.xie (open_id: ou_39090c7e5748582791cd6095f6ce6baa)

#### Key Results:
1. 7月L60车型交付≥3台
    ..."
jiawen.wu2,2025 年 7 月,新增建联量,120,人,"### 多建联多建信:月度建联总量大于等于150人，
新增建联≥120人
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653426836832258, Owner: mengting.xie (open_id: ou_39090c7e5748582791cd6095f6ce6baa)

#### Key Res..."
jiawen.wu2,2025 年 7 月,新增建联量,150,人,"### 多建联多建信:月度建联总量大于等于150人，
新增建联≥120人
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653426836832258, Owner: mengting.xie (open_id: ou_39090c7e5748582791cd6095f6ce6baa)

#### Key Res..."
jiawen.wu2,2025 年 7 月,新增建联量,120,人,"### 多建联多建信:月度建联总量大于等于150人，
新增建联≥120人
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653426836832258, Owner: mengting.xie (open_id: ou_39090c7e5748582791cd6095f6ce6baa)

#### Key Res..."
jiawen.wu2,2025 年 7 月,新增建联量,150,人,"### 多建联多建信:月度建联总量大于等于150人，
新增建联≥120人
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653426836832258, Owner: mengting.xie (open_id: ou_39090c7e5748582791cd6095f6ce6baa)

#### Key Res..."
jiawen.wu2,2025 年 7 月,新增建联量,40,人,"### 多建联多建信:月度建联总量大于等于150人，
新增建联≥120人
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653426836832258, Owner: mengting.xie (open_id: ou_39090c7e5748582791cd6095f6ce6baa)

#### Key Res..."
jiawen.wu2,2025 年 7 月,锁单量,6,台,"### 多卖车多赚钱
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653426836832258, Owner: mengting.xie (open_id: ou_39090c7e5748582791cd6095f6ce6baa)

#### Key Results:
1. 7月L60车型交付≥3台
    ..."
jiawen.wu2,2025 年 7 月,锁单量,6,台,"### 多卖车多赚钱
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653426836832258, Owner: mengting.xie (open_id: ou_39090c7e5748582791cd6095f6ce6baa)

#### Key Results:
1. 7月L60车型交付≥3台
    ..."
jimmy.ye,2025 年 7 月,交付量,1,台,"### （多卖车多赚钱）：月度车辆销售交付≥1辆（挑战目标2辆），财务上达成Q3利润目标，确保增量投入的使用效率。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430569517084, Owner: austin.shen (open_id: ou_b398e4739481c6ea61a66e5f39d..."
jimmy.ye,2025 年 7 月,交付量,1,台,"### （能力成长）：持续学习
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430569517084, Owner: austin.shen (open_id: ou_b398e4739481c6ea61a66e5f39d19050)

#### Key Results:
1. 多向buddy学习，不懂就..."
jimmy.ye,2025 年 7 月,交付量,1,台,"### （能力成长）：持续学习
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430569517084, Owner: austin.shen (open_id: ou_b398e4739481c6ea61a66e5f39d19050)

#### Key Results:
1. 多向buddy学习，不懂就..."
jimmy.ye,2025 年 7 月,新增建联量,100,人,"### 多打电话多去主动建联，并保持持续建信
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430569517084, Owner: austin.shen (open_id: ou_b398e4739481c6ea61a66e5f39d19050)
    - 目标: 751665343056951708..."
jimmy.ye,2025 年 7 月,新增建联量,100,人,"### 多打电话多去主动建联，并保持持续建信
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430569517084, Owner: austin.shen (open_id: ou_b398e4739481c6ea61a66e5f39d19050)
    - 目标: 751665343056951708..."
jimmy.ye,2025 年 7 月,新增建联量,40,人,"### 多打电话多去主动建联，并保持持续建信
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430569517084, Owner: austin.shen (open_id: ou_b398e4739481c6ea61a66e5f39d19050)
    - 目标: 751665343056951708..."
jimmy.ye,2025 年 7 月,试驾量,1,组,"### （多卖车多赚钱）：月度车辆销售交付≥1辆（挑战目标2辆），财务上达成Q3利润目标，确保增量投入的使用效率。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430569517084, Owner: austin.shen (open_id: ou_b398e4739481c6ea61a66e5f39d..."
jimmy.ye,2025 年 7 月,试驾量,2,组,"### （多卖车多赚钱）：月度车辆销售交付≥1辆（挑战目标2辆），财务上达成Q3利润目标，确保增量投入的使用效率。
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430569517084, Owner: austin.shen (open_id: ou_b398e4739481c6ea61a66e5f39d..."
jing.yang15,2025 年 7 月,交付量,2,台,"### (多卖车多赚钱):完成L60月度锁单及交付2台(挑战目标4台)
A1) 月度L60锁单及交付目标2台

A2）月度试驾量>40组

A3）月度总跟进数>1080组 日跟进量>40组
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653429093908482, Owner: zhengrui.liu (o..."
jing.yang15,2025 年 7 月,交付量,2,台,"### (多卖车多赚钱):完成L60月度锁单及交付2台(挑战目标4台)
A1) 月度L60锁单及交付目标2台

A2）月度试驾量>40组

A3）月度总跟进数>1080组 日跟进量>40组
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653429093908482, Owner: zhengrui.liu (o..."
jing.yang15,2025 年 7 月,新增建联量,97,人,"### (多建联多建信):月度个人新增建联>97组
A1)月度个人新增建联>97组 
A2)开口获取新增建联目标，每日线索3-5个/人(周中3，周末5)，企业微信添加率80%
A3 在社媒(含朋友圈、小红书、抖音)精心设计、原创内容8篇
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653429093908482..."
jing.yang15,2025 年 7 月,新增建联量,97,人,"### (多建联多建信):月度个人新增建联>97组
A1)月度个人新增建联>97组 
A2)开口获取新增建联目标，每日线索3-5个/人(周中3，周末5)，企业微信添加率80%
A3 在社媒(含朋友圈、小红书、抖音)精心设计、原创内容8篇
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653429093908482..."
jing.yang15,2025 年 7 月,新增建联量,97,人,"### (多建联多建信):月度个人新增建联>97组
A1)月度个人新增建联>97组 
A2)开口获取新增建联目标，每日线索3-5个/人(周中3，周末5)，企业微信添加率80%
A3 在社媒(含朋友圈、小红书、抖音)精心设计、原创内容8篇
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653429093908482..."
jing.yang15,2025 年 7 月,新增建联量,97,人,"### (多建联多建信):月度个人新增建联>97组
A1)月度个人新增建联>97组 
A2)开口获取新增建联目标，每日线索3-5个/人(周中3，周末5)，企业微信添加率80%
A3 在社媒(含朋友圈、小红书、抖音)精心设计、原创内容8篇
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653429093908482..."
jing.yang15,2025 年 7 月,试驾量,40,组,"### (多卖车多赚钱):完成L60月度锁单及交付2台(挑战目标4台)
A1) 月度L60锁单及交付目标2台

A2）月度试驾量>40组

A3）月度总跟进数>1080组 日跟进量>40组
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653429093908482, Owner: zhengrui.liu (o..."
joey.zhang4,2025 年 7 月,试驾量,2,组,"### 完成个人日常数据以及月度目标
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516651185101717532, Owner: luvian.liu (open_id: ou_e8bceb53fc173672069468a7a52d8c10)
    - 目标: 7516576689481678867, Ow..."
juncheng.wang2,2025 年 7 月,交付量,2,台,"### （多卖车多赚钱）：完成L60月度锁单及交付2台（挑战目标4台）完成L90意向金5台（挑战目标10台）
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度L60锁单及交付目标2台 L90意向金5台
    - Progress: 0%
    - Score: 0
2. 月度试驾量>40组
    - Progress: 0%..."
juncheng.wang2,2025 年 7 月,交付量,2,台,"### （多卖车多赚钱）：完成L60月度锁单及交付2台（挑战目标4台）完成L90意向金5台（挑战目标10台）
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度L60锁单及交付目标2台 L90意向金5台
    - Progress: 0%
    - Score: 0
2. 月度试驾量>40组
    - Progress: 0%..."
juncheng.wang2,2025 年 7 月,新增建联量,97,人,"### （多建联多建信）：月度个人新增建联>97组
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度个人新增建联>97组
    - Progress: 0%
    - Score: 0
2. 开口获取新增建联目标，每日线索3-5个/人（周中3，周末5），企业微信添加率80%
    - Progress: 0%
    - S..."
juncheng.wang2,2025 年 7 月,新增建联量,97,人,"### （多建联多建信）：月度个人新增建联>97组
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度个人新增建联>97组
    - Progress: 0%
    - Score: 0
2. 开口获取新增建联目标，每日线索3-5个/人（周中3，周末5），企业微信添加率80%
    - Progress: 0%
    - S..."
juncheng.wang2,2025 年 7 月,新增建联量,97,人,"### （多建联多建信）：月度个人新增建联>97组
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度个人新增建联>97组
    - Progress: 0%
    - Score: 0
2. 开口获取新增建联目标，每日线索3-5个/人（周中3，周末5），企业微信添加率80%
    - Progress: 0%
    - S..."
juncheng.wang2,2025 年 7 月,新增建联量,97,人,"### （多建联多建信）：月度个人新增建联>97组
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度个人新增建联>97组
    - Progress: 0%
    - Score: 0
2. 开口获取新增建联目标，每日线索3-5个/人（周中3，周末5），企业微信添加率80%
    - Progress: 0%
    - S..."
juncheng.wang2,2025 年 7 月,试驾量,40,组,"### （多卖车多赚钱）：完成L60月度锁单及交付2台（挑战目标4台）完成L90意向金5台（挑战目标10台）
- **Progress:** 0%
- **Score:** 0

#### Key Results:
1. 月度L60锁单及交付目标2台 L90意向金5台
    - Progress: 0%
    - Score: 0
2. 月度试驾量>40组
    - Progress: 0%..."
junwei.lin,2025 年 7 月,交付量,3,台,"### 建联目标125，试驾50，交付3.
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653428652244993, Owner: gabor.zhan (open_id: ou_b8cbc97aea607f8b278aab04fe1e8511)

#### Key Results:
1. 每周建联32组，..."
junwei.lin,2025 年 7 月,新增建联量,32,人,"### 建联目标125，试驾50，交付3.
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653428652244993, Owner: gabor.zhan (open_id: ou_b8cbc97aea607f8b278aab04fe1e8511)

#### Key Results:
1. 每周建联32组，..."
junwei.lin,2025 年 7 月,新增建联量,32,人,"### 建联目标125，试驾50，交付3.
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653428652244993, Owner: gabor.zhan (open_id: ou_b8cbc97aea607f8b278aab04fe1e8511)

#### Key Results:
1. 每周建联32组，..."
junwei.lin,2025 年 7 月,新增建联量,50,人,"### 主动建联50组
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653428652244993, Owner: gabor.zhan (open_id: ou_b8cbc97aea607f8b278aab04fe1e8511)

#### Key Results:
1. 外出拜访地产车行的朋友前同事
   ..."
junwei.lin,2025 年 7 月,新增建联量,50,人,"### 主动建联50组
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653428652244993, Owner: gabor.zhan (open_id: ou_b8cbc97aea607f8b278aab04fe1e8511)

#### Key Results:
1. 外出拜访地产车行的朋友前同事
   ..."
junwei.lin,2025 年 7 月,试驾量,50,组,"### 建联目标125，试驾50，交付3.
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653428652244993, Owner: gabor.zhan (open_id: ou_b8cbc97aea607f8b278aab04fe1e8511)

#### Key Results:
1. 每周建联32组，..."
junwei.lin,2025 年 7 月,试驾量,13,组,"### 建联目标125，试驾50，交付3.
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653428652244993, Owner: gabor.zhan (open_id: ou_b8cbc97aea607f8b278aab04fe1e8511)

#### Key Results:
1. 每周建联32组，..."
junwei.lin,2025 年 7 月,试驾量,13,组,"### 建联目标125，试驾50，交付3.
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653428652244993, Owner: gabor.zhan (open_id: ou_b8cbc97aea607f8b278aab04fe1e8511)

#### Key Results:
1. 每周建联32组，..."
junwei.lin,2025 年 7 月,锁单量,1,台,"### 建联目标125，试驾50，交付3.
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653428652244993, Owner: gabor.zhan (open_id: ou_b8cbc97aea607f8b278aab04fe1e8511)

#### Key Results:
1. 每周建联32组，..."
kai.wei2,2025 年 7 月,交付量,2,台,"### 本月完成目标锁单3，交付2
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653429094875138, Owner: zheng.fang5 (open_id: ou_21b3e2ef823a569a683eee85150d05f4)
    - 目标: 7516653429094875138, Ow..."
kai.wei2,2025 年 7 月,锁单量,3,台,"### 本月完成目标锁单3，交付2
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653429094875138, Owner: zheng.fang5 (open_id: ou_21b3e2ef823a569a683eee85150d05f4)
    - 目标: 7516653429094875138, Ow..."
kaixiong.wang,2025 年 7 月,交付量,1,台,"### 七月份交付1台，L90大定4台，锁单两台
- **Progress:** 0%
- **Score:** 0
- **Aligned by:**
    - 目标: 7516653430188032002, Owner: miao.wang4 (open_id: ou_9c87bd758f522a0ca307064d9ff71b43)

#### Key Results:
1. 月度试驾总..."
